Pkt ID,Route,Generation Time (in s),First Tx At (in s),Delay (in s),Times Packet Forwarded,Retransmissions,Packet Size (in bytes),Tx Power (in watt),Average Transmission Power in the route (in watt),Min. SINR Along Route,SINR at Flow Dest,Min. Data Rate Along Route (in Mbps),Data Rate at Flow Src (in Mbps)
2003688507183_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.688507,2003.718,inf,6,0,2343.0,"0.0053220512539897905,0.005688349506209699,0.007700651623574965,0.006205642687297345,0.0053220512539897905,0.005746183955940023",0.005997,1.664145,inf,11,11
2003693968023_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.693968,2003.723908,inf,7,0,2343.0,"0.005689689903701154,0.00569999256236029,0.007762949507560334,0.0053220512539897905,0.00613426772172759,0.005746183955940023,0.0058312957849140645",0.006027,1.664145,inf,11,11
2003699431630_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.699432,2003.729796,inf,7,1,2343.0,"0.00569269426974142,0.0059040379499053705,0.005902793511102935,0.0053220512539897905,0.006141032028600865,0.005747043892331334,0.0056171850306158625",0.005761,1.664145,inf,11,11
2003704895902_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.704896,2003.731666,3.002556,8,0,2343.0,"0.0053220512539897905,0.006419713169655683,0.0059126171551925925,0.0053220512539897905,0.006105886170961665,0.005747043892331334,0.005596106298072248,0.005474829979082613",0.005738,1.664145,1.711917,11,11
2003710361375_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.710361,2003.733556,3.001068,8,3,2343.0,"0.0053220512539897905,0.005902942109389845,0.0053220512539897905,0.0053220512539897905,0.006141032028600865,0.005747054476728771,0.00561719238089186,0.005522567040551212",0.005612,1.664145,1.726844,11,11
2003715821116_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.715821,2003.741164,inf,7,4,2343.0,"0.0053220512539897905,0.007683605247506666,0.0053220512539897905,0.006105886170961665,0.006141324730578526,0.005715208133126229,0.005617192471361624",0.005987,1.664145,inf,11,11
2003721290505_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.721291,2003.743154,inf,7,5,2343.0,"0.0053220512539897905,0.0053220512539897905,0.0053220512539897905,0.006105886170961665,0.006139803915182311,0.005715208184015471,0.005585063146741066",0.005645,1.664145,inf,11,11
2003726751366_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.726751,2003.749021,3.00492,8,3,2343.0,"0.0053220512539897905,0.0053220512539897905,0.006339546399045091,0.006360312190525222,0.006141324730578526,0.005746662631085866,0.005616920266297039,0.005515176561320889",0.005796,1.664145,1.724533,11,11
2003732213567_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.732214,2003.752949,3.00538,8,9,2343.0,"0.0053220512539897905,0.00786869893434338,0.006356346563621284,0.0053220512539897905,0.006141337396243956,0.005715208184641833,0.005594922424124148,0.005594446252787194",0.005989,1.664145,1.74932,11,11
2003737676056_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.737676,2003.754879,3.001968,8,3,2343.0,"0.0053220512539897905,0.007683605247506666,0.007650242781192068,0.008203465894927285,0.006141271588219207,0.005747049784032206,0.005595075591527883,0.00571699720558776",0.006507,1.664145,1.78764,11,11
2003743141458_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.743141,2003.756769,3.000295,8,3,2343.0,"0.0053220512539897905,0.006306125141108773,0.006339546399045091,0.008377625755846238,0.006141337396243956,0.00574666263171994,0.005745182112569805,0.00596080605607282",0.006242,1.664145,1.863876,11,11
2003748609789_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.74861,2003.760838,inf,7,8,2343.0,"0.0053220512539897905,0.006400697637986534,0.005892647549766727,0.00593316615436108,0.006141337944306809,0.005747054549245883,0.005585040405591195",0.00586,1.664145,inf,11,11
2003754069534_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.75407,2003.768674,inf,5,0,2343.0,"0.0053220512539897905,0.007809093248367654,0.006356580384822467,0.007649805521555582,0.007649543693825926",0.006957,1.664145,inf,11,11
2003759529356_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.759529,2003.772563,inf,3,7,2343.0,"0.0053220512539897905,0.006400697637986534,0.007712871225305686",0.006479,1.216671,inf,11,11
2003764992669_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.764993,2003.774533,inf,2,0,2343.0,"0.0053220512539897905,0.005897868386788924",0.00561,1.664145,inf,11,11
2003770458154_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.770458,2003.780471,inf,2,0,2343.0,"0.0053220512539897905,0.008055122215349967",0.006689,1.664145,inf,11,11
2003775926350_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.775926,2003.786377,inf,2,2,2343.0,"0.0053220512539897905,0.0053220512539897905",0.005322,1.024892,inf,11,11
2003781390712_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.781391,2003.790266,inf,2,0,2343.0,"0.0053220512539897905,0.006371630806663957",0.005847,1.664145,inf,11,11
2003786859859_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.78686,2003.79805,inf,2,4,2343.0,"0.0053220512539897905,0.0053220512539897905",0.005322,1.011533,inf,11,11
2003792322660_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.792323,2003.802039,inf,2,0,2343.0,"0.0053220512539897905,0.007536217500007501",0.006429,1.664145,inf,11,11
2003797791174_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.797791,2003.809903,inf,2,0,2343.0,"0.0053220512539897905,0.006454097766680914",0.005888,1.664145,inf,11,11
2003803257093_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.803257,2003.815801,inf,2,0,2343.0,"0.0053220512539897905,0.006371630806663957",0.005847,1.664145,inf,11,11
2003808722796_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.808723,2003.81975,inf,2,7,2343.0,"0.007791795342139906,0.00639888353811529",0.007095,1.521769,inf,11,11
2003814192137_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.814192,2003.88866,inf,2,1,2343.0,"0.007103224989675149,0.007536217500007501",0.00732,2.221098,inf,11,11
2003819655966_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.819656,2003.89063,inf,2,0,2343.0,"0.0053220512539897905,0.006385564430508272",0.005854,1.664145,inf,11,11
2003825120180_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.82512,2003.8925,inf,2,0,2343.0,"0.005710436324337575,0.006384884834499572",0.006048,1.785589,inf,11,11
2003830588321_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.830588,2003.89465,inf,2,0,2343.0,"0.007873380486386448,0.007811927779416473",0.007843,2.442701,inf,11,11
2003836051404_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.836051,2003.89682,inf,3,0,2343.0,"0.006754868577927024,0.00639888353811529,0.0053220512539897905",0.006159,1.664145,inf,11,11
2003841516307_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.841516,2003.89881,inf,3,3,2343.0,"0.0068132494758321475,0.0053220512539897905,0.0053220512539897905",0.005819,1.664145,inf,11,11
2003846980463_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.84698,2003.90092,inf,3,0,2343.0,"0.006403033457905478,0.005722630562320299,0.0053220512539897905",0.005816,1.664145,inf,11,11
2003852448989_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.852449,2003.90279,inf,3,0,2343.0,"0.005908350570989963,0.005875592815494218,0.0053220512539897905",0.005702,1.664145,inf,11,11
2003857912636_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.857913,2003.90482,inf,3,0,2343.0,"0.0053220512539897905,0.005717763042675586,0.0053220512539897905",0.005454,1.664145,inf,11,11
2003863376042_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.863376,2003.90695,inf,3,2,2343.0,"0.0053220512539897905,0.005901180966101712,0.0053220512539897905",0.005515,1.664145,inf,11,11
2003868839622_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.86884,2003.90884,inf,3,0,2343.0,"0.005676317853352623,0.007536217500007501,0.0053220512539897905",0.006178,1.664145,inf,11,11
2003874308761_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.874309,2003.91089,inf,3,2,2343.0,"0.005574933597316813,0.0077915706901680384,0.0053220512539897905",0.00623,1.664145,inf,11,11
2003879769211_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.879769,2003.91298,inf,3,0,2343.0,"0.005676317853352623,0.0053220512539897905,0.0053220512539897905",0.00544,1.664145,inf,11,11
2003885232018_Node0_Node8_Zero,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",2003.885232,2003.91507,inf,4,0,2343.0,"0.005676317853352623,0.006376561276692813,0.0053220512539897905,0.0077122552756704104",0.006272,1.664145,inf,11,11
